Cluster,Tokens
1,"['Trump', 'BERNARD', '2016', 'AP', 'Manhattan', 'last week', 'the Democratic Party', 'one', 'decades', 'James D. Zirin', '108', 'Peter Strzok', 'two', 'John Durham', 'January 2017', 'Senate Intelligence Committee', 'three years', 'Kremlin', '26', 'Russians', 'Newsmax', 'Georgia', 'Saturday', 'night', 'this week', 'Lock', 'the White House', 'New York University', 'Last year', 'Trump Organization', 'first', 'Chicago', 'hundreds of millions of dollars', 'the coming years', 'New York Times', ""We'll"", 'Associated Press', 'Roy Cohn', 'Julius', 'Ethel Rosenberg', 'Red Scare', 'the Trump Organization', 'the early 1970s', 'the years', 'USA Today', 'at least 3500', 'three decades - more than five', 'dozens', '2020', 'the U.S. Supreme Court', 'Moscow', 'Stormy Daniels - Cohen', 'more than a year and a half', 'the Supreme Court', 'Vance', 'September', 'Mary Trump', '2018', 'Fred', 'at least $413 million', 'Ted Boutrous']"
2,"['Clinton', 'JILL', 'ERIC TUCKER', ""30.3.2022 Trump's"", 'Democrats', 'Russia', 'FBI', 'NEW YORK', 'Pulitzer Prize', ""Donald Trump's"", 'Hillary Clinton', 'Plaintiff in Chief', 'James Comey', 'Lisa Page', 'three', 'ex-FBI', 'Defendants', 'Republican', 'Donald J. Trump', 'Watergate', 'Justice Department', 'U.S.', 'Russian', 'Vladimir Putin', 'Robert Mueller', '34', 'Alina Habba', 'Stephen Gillers', 'Barbara Res', 'Res', 'Deutsche Bank', '2008', 'Trump University', '2016.Trump', 'Joe McCarthy', 'Cohn Trump', 'the Justice Department', 'The Trump Organization', 'more than half', '2:30 a.m.', 'hours', 'Michael Cohen', 'Congress', 'Cyrus R. Vance Jr.', 'The New York Times', 'the decades', 'New York', ""Mary Trump's"", 'March 11']"
