Cluster,Tokens
1,"['Trump', 'against', 'Clinton', 'JILL', 'COLVIN', 'ERIC', 'TUCKER', 'and', 'BERNARD', 'CONDON', '30.3.2022', ""'s"", 'latest', 'familiar', 'in', 'concocted', 'fictitious', 'his', 'colluding', 'Russia', 'FBI', 'as', 'an', 'unfounded', 'investigation', 'AP', 'Prize', 'winning', 'architecture', 'critic', 'panned', 'Donald', 'plans', 'new', 'responded', 'by', 'suing', 'he', 'to', 'sued', 'their', 'slapped', 'firm', 'representing', 'former', ""'d"", 'again', 'took', 'last', 'Democratic', 'conspiring', 'sink', ""n't"", 'surprise', 'has', 'spent', 'political', 'personal', 'into', 'career', 'venue', 'complaints', 'intimidate', 'adversaries', 'sully', 'try', 'garner', 'attention', 'weapon', 'something', 'never', 'James', 'which', 'him', 'way', 'screed', 'longstanding', 'from', 'both', 'her', 'aides', 'community', 'Lisa', 'Page', 'who', 'critical', 'text', 'messages', 'about', 'off', 'John', 'cybersecurity', 'attorney', 'ex', 'conspiracy', 'led', 'based', 'Defendants', 'conspired', 'weave', 'narrative', 'Republican', 'sovereignty', 'lawyers', 'describing', 'so', 'outrageous', 'incendiary', 'Watergate', 'pale', 'established', 'inspector', 'missteps', 'could', 'advances', 'election', 'intelligence', 'agencies', 'January', 'ranging', 'aimed', 'helping', 'beat', 'Intelligence', 'Committee', 'after', 'those', 'had', 'specific', 'Russian', 'Vladimir', 'directed', 'aspects', 'concluding', 'eager', 'Robert', 'Mueller', 'investigating', 'links', 'interference', 'His', 'resulted', 'charges', '34', 'entities', '26', 'Russians', 'chair', 'national', 'security', 'Representatives', 'approach', 'Newsmax', 'more', 'suits', 'coming', 'soon', 'going', 'make', 'up', 'stories', 'or', 'is', 'meanwhile', 'rile', 'rally', 'Georgia', 'Saturday', 'night', 'this', 'corrupt', 'I', 'cheers', 'loud', 'Lock', 'feature', 'White', 'lend', 'credibility', 'trail', 'Gillers', 'York', 'professor', 'unaware', 'are', 'pays', 'goes', 'will', 'able', 'these', 'form', 'biggest', 'companies', 'censored', 'industries', 'lost', 'use', 'lawsuits', 'sue', 'contractors', 'partners', 'defense', 'Organization', 'often', 'weaken', 'rivals', 'perception', 'many', 'first', 'defaulted', 'Deutsche', 'loan', 'Chicago', 'condo', 'tower', 'financial', 'wait', 'lending', 'practices', 'hurt', 'helped', 'trigger', 'global', 'depression', 'bank', 'argued', 'should', 'novel', 'argument', 'some', 'extending', 'preparing', 'received', 'note', 'assured', 'your', 'article', 'factually', 'we', 'no', 'you', 'delivered', 'raised', 'repeated', 'emphasis', ""We'll"", 'yelled', 'Press', 'phone', 'interview', 'defunct', 'ventures', '2016.Trump', 'learned', 'dog', 'tactics', 'early', 'advisers', 'disbarred', 'Julius', 'Ethel', 'spying', 'husband', 'wife', 'Red', 'Scare', 'hearings', 'Under', 'brought', '1970s', 'housing', 'settled', 'A', 'USA', 'Today', 'involved', 'cases', 'course', 'five', 'top', 'owners', 'half', 'continued', 'desperate', 'futile', 'remain', 'baseless', '2020', 'failed', 'prove', 'fraud', 'intentions', 'Supreme', 'Court', '2:30', 'a.m.', 'hours', 'polls', 'closed', 'instituted', 'win', 'frustrate', 'Cohen', 'went', 'jail', 'making', 'hush', 'money', 'star', 'lying', 'Daniels', 'continue', 'alternative', 'proven', 'District', 'Attorney', 'R.', 'copies', 'dragged', 'indictment', '2018', 'challenged', 'documenting', 'schemes', 'state', 'settlement', 'agreement', 'records', 'reporters', 'Ted', 'March', 'letter', 'interest']"
3,"['suit', 'strategyBy', 'a', 'Democrats', 'campaign', 'with', 'the', 'result', 'pursued', 'NEW', 'YORK', 'When', 'for', 'tenants', 'clear', 'halt', 'evictions', 'back', 'filing', 'when', 'author', 'said', 'president', 'worth', 'less', 'claimed', 'So', 'week', 'accusing', 'rival', 'Hillary', 'Party', 'presidential', 'alleging', 'renewing', 'one', 'longest', 'affronts', 'decades', 'grievances', 'Throughout', 'used', 'courts', 'tool', 'reputations', 'It', 'pattern', 'punish', 'enemies', 'intended', 'be', 'D.', 'Plaintiff', 'Chief', 'history', 'litigation', 'The', 'page', 'much', 'document', 'enforcement', 'Comey', 'Peter', 'two', 'officials', 'during', 'also', 'work', 'special', 'counsel', 'Durham', 'listing', 'criminal', 'probe', 'himself', 'victim', 'knew', 'on', 'contrived', 'concert', 'maliciously', 'hostile', 'wrote', 'scheme', 'even', 'Department', 'general', 'if', 'meddle', '2017', 'influence', 'at', 'bipartisan', 'Senate', 'years', 'affirmed', 'conclusions', 'preferred', 'Putin', 'approved', 'contact', 'exploit', 'aid', 'Former', 'not', 'adviser', 'requests', 'Habba', 'network', 'We', 'being', 'shortly', 'anybody', 'sitting', 'prior', 'presidency', 'To', 'relentless', 'lies', 'hold', 'them', 'mention', 'prompted', 'applause', 'revival', 'defining', 'addition', 'useful', 'comes', 'run', 'Stephen', 'University', 'public', 'fact', 'force', 'Anyone', 'see', 'victimization', 'pay', 'year', 'country', 'tech', 'claiming', 'wrongfully', 'suspended', 'real', 'legendary', 'threatened', 'parties', 'afford', 'She', 'preventive', 'strike', 'impression', 'aggrieved', 'Indeed', '2008', 'lender', 'paying', 'ultimately', 'succeeded', 'then', 'hundreds', 'As', 'columnist', 'write', 'Please', 'threat', 'Associated', 'attack', 'Cohn', 'name', 'case', 'electric', 'Sen.', 'McCarthy', 'countersued', 'discrimination', 'eventually', 'admitting', 'casework', 'combined', 'attempt', 'allies', 'dozens', 'challenging', 'Again', 'misconduct', 'all', 'litigious', 'hardship', 'fixer', 'adversary', 'Congress', 'proposed', 'involving', 'Stormy', 'emboldens', 'purposes', 'ways', 'fighting', 'efforts', 'Cyrus', 'Jr.', 'obtain', 'taking', 'stall', 'long', 'cusp', 'seeking', 'replaced', 'successor', 'allegedly', 'family', 'Mary', 'story', 'wealth', 'how', 'father', 'given', '$', '413', 'accused', 'Boutrous', 'chill']"
2,"['part', 'of', 'longtime', 'legal', 'lawsuit', 'revisits', 'grievance', 'that', '2016', 'claims', 'was', 'Pulitzer', 'Manhattan', 'skyscraper', 'building', 'trying', 'law', 'And', 'far', 'than', 'action', 'filed', 'sprawling', 'ties', 'standing', 'perceived', 'it', 'repurposing', 'causes', 'business', 'air', 'media', 'using', 'Zirin', 'federal', 'prosecutor', 'book', 'details', 'For', 'life', '108', 'names', 'defendants', 'targets', 'ire', 'realm', 'including', 'Director', 'Strzok', 'exchanged', 'piggybacks', 'three', 'people', 'lawyer', 'analyst', 'have', 'been', 'charged', 'paints', 'vast', 'racketeering', 'false', 'premise', 'Acting', 'opponent', 'J.', 'foreign', 'alleged', 'subversive', 'events', 'comparison', 'well', 'through', 'Justice', 'made', 'errors', 'look', 'seize', 'But', 'did', 'U.S.', 'concluded', 'mounted', 'saying', 'information', 'President', 'Kremlin', 'found', 'between', 'chairman', 'regular', 'officer', 'other', 'associates', 'were', 'further', 'establish', 'but', 'sweeping', 'systematic', 'respond', 'comment', 'Alina', 'defended', 'telling', 'another', 'she', 'malicious', 'while', 'now', 'already', 'crowds', 'fight', 'establishment', 'hoaxes', 'historic', 'accountable', 'hoax', 'especially', 'chant', 'In', 'serving', 'cudgel', 'effort', 'mulling', 'House', 'imprimatur', 'New', 'ethics', 'repackaged', 'adds', 'what', 'large', 'does', 'validity', 'Last', 'similar', 'conservatives', 'accounts', 'tactic', 'estate', 'casino', 'where', 'fortunes', 'He', 'tax', 'authorities', 'loved', 'Barbara', 'Res', 'executive', 'turned', 'create', 'party', 'before', 'they', 'acted', 'person', 'legitimate', 'complaint', 'giant', 'Bank', 'hotel', 'crisis', 'Instead', 'predatory', 'reputation', 'ended', 'forgiving', 'millions', 'dollars', 'loans', 'Times', 'correct', 'choice', 'journalists', 'voice', ""'ll"", 'late', 'Roy', 'Rosenberg', 'communist', 'sent', 'aide', 'Joe', 'guilt', 'followed', 'let', 'least', '3500', 'court', 'over', 'power', 'results', 'judges', 'plaintiffs', 'votes', 'counted', 'appearance', 'exceptionally', 'rather', 'opposing', 'causing', 'Michael', 'payments', 'porn', 'affair', 'Moscow', 'wins', 'rampage', 'beneficial', 'Vance', 'returns', 'While', 'out', 'appeared', 'Even', 'immune', 'September', 'estranged', 'niece', 'self', 'Fred', 'million', 'avoidance', 'breaching', 'disclosing', 'newspaper', '11', 'speech']"
